,Title,Keywords,Description,sector_agriculture,sector_LULUCF,matches,count_matches
937,"Royal Decree No. 18/2016 - Flood risk management plans of the Guadalquivir, Segura, JÃºcar hydrographic demarcations and the Spanish part of the MiÃ±o-Sil, Duero, Tajo, Guadiana, Ebro, Ceuta and Melilla hydrographic demarcations",Adaptation,"This Royal Decree approves the Flood Risk Management Plans of the Guadalquivir, Segura, JÃºcar and the Spanish part of the MiÃ±o-Sil, Duero, Tajo, Guadiana, Ebro, Ceuta and Melilla hydrographic demarcations. The actions promoted by the General State Administration and provided for in the risk management plans of the respective demarcations will be submitted, prior to their completion, to an analysis of their technical feasibility.

It regulates the structure of all these plans which must contain a report with ten chapters and, in general, four annexes with the following information: the characterization of areas of significant potential flood risk ( ARPSIs); Description of the program of measures; Summary of public information and consultation processes and their results; A list of competent authorities.",0,0,,0
940,Royal Decree-law 15/2018 on urgent measures for energy transition and consumer protection,"Energy Supply, Energy Demand","This decree law aims to accelerate the transition to a decarbonised economy by increasing integration of renewable energies into the Spanish economy and promoting energy efficiency. It aims to use economic signals to incentivise consumers, companies and others to adopt renewable energy and energy efficient technologies. In order to accelerate Spain's transition to renewable energies, the law introduces a number of fiscal measures, including (1) a tax exemption for producers of energy incorporated into the electricity system for a period of six months, (2) a tax exemption for the use of energy products intended to produce electricity in power stations or the production of electricity or the co-generation of electricity and heat in combined heat and power stations, (3) a tax exemption for self-consumed energy of renewable origin, co-generation or waste.

This document derives from <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-24-2013-on-the-electric-sector/"">Law 24/2013</a> on the energy sector.",0,0,,0
960,The Swedish Climate Policy Framework,Institutions / Administrative Arrangements,"<div>In June 2017, Sweden's Riksdag introduced a climate policy framework with a <a href=""http://www.lse.ac.uk/GranthamInstitute/law/climate-act/"">Climate Act</a> for Sweden. This framework sets out implementation of the Paris Agreement in Sweden.<br><br>By 2045, Sweden is to have zero net emissions of greenhouse gases into the atmosphere. It outlines the government's policy towards mitigating emissions, as well as specific targets for emissions reductions. It contains three pillars for Sweden's climate change policy: (1) the Climate Act, (2) new goals for emissions reductions, and (3) establishing a climate policy council.&nbsp;<br><br>The Climate Act provides that Sweden's climate policy must be based on its climate goals, requires the government to present a climate report every year in its budget bill and produce a climate policy action plan that describes how it will achieve its climate goals and balance climate policy goals and budget policy goals. The new emissions reductions it sets are: by 2030, Sweden will reduce emissions from domestic transport, excluding domestic aviation, by at least 70% and will reduce emissions from sectors covered by the EU Effort Sharing Regulation by at least 63%; by 2040, Sweden will reduce emissions from sectors covered by the EU Effort Sharing Regulation by at least 75% compared to a 1990 baseline; by 2045, Sweden will achieve carbon neutrality.&nbsp;<br><br>The Climate Policy Council will support the government by providing an independent assessment of whether the overall policy presented by the government is compatible with its climate goals. The council will also evaluate the likelihood of achieving the government's climate policy goals in various policy areas.</div>",0,0,,0
964,"Regulation on State Subsidies for Solar Panels - Regulation No. 2009:689, updated/ amended by Regulation no. 2011:1473","Research And Development, Energy Supply","The Regulation on State Subsidies for Solar Panels provides for financial support to facilitate the uptake of solar installations. This regulation forms the basis of grants for all types of solar/PV installations. The solar/PV market in Sweden is predominantly focused on off-grid installations in homes in remote areas and utilities such as communication stations or lighthouses. Grid-connected facilities with solar/PV are mostly used for research or demonstration purposes. The regulation is aimed at private individuals, companies and municipalities.<br />
<br />
In November 2011 the regulation was amended, which reduced the subsidies from 46% to a maximum of 43% of the eligible costs per installation from 1 February 2013 onwards. The total budget allocated to the 2013-2016 period is SEK210m (USD28.4m).",0,0,,0
1000,Strategic framework for climate change adaptation,Adaptation,"This strategic framework aims at making Slovenia, by 2050, a society adapted and resilient to climate change impacts and characterised by a high quality of life and a high degree of safety of life, while taking full advantage of the changed climate on the basis of sustainable development. This document presents the measures to strengthen capacities for climate change adaptation, management of risks and for taking advantage of eventual opportunities brought by a changing climate.",0,0,,0
1001,Decree on the Use of the Climate Change Fund in 2017-18,Institutions / Administrative Arrangements,This decree/ordinance adopts the spending programme of the Climate Change Fund in 2017 and 2018. The Fund resources and its use are detailed in annex.,0,0,,0
1009,"Law 8/2013 on urban rehabilitation, regeneration and renovation","Institutions / Administrative Arrangements, Energy Supply, Energy Demand","This Law aims to promote energy efficiency and address the challenges caused by climate change. It recognises the opportunity to change production model parameters to environmental, social and economic sustainability by creating green jobs, specifically those related to renewable energy and rehabilitation policies and energy.<br />
<br />
It requires the public administration to prioritise renewable energy over fossil fuels and fight against the energy crisis with measures that promotes efficiency and development.<br />
<br />
The law also establishes the basic provisions of a Building Assessment Report (BAR). In addition to assessing the conservation status of the buildings, the BAR provides information about the degree of compliance with current regulations on accessibility, and includes the Certification of Energy Efficiency. The Report is required for residential apartment buildings more than 50 years old that have not already passed a Technical Building Inspection.",0,0,,0
1192,Act No. 165/2012 Coll. on supported energy sources and on amendment to some laws,Energy Supply,"The Act contains measures to slow-down the further development of energy from renewable sources while still meeting the EU targets for renewable energy under the burden sharing agreement in compliance with the Renewable Energy Directive. The objective is to minimise consumer prices and guarantee a long-term sustainable development of renewable energy sources.<br />
<br />
It regulates the guarantees of origin for energy from renewable sources, funds to support the market competitiveness of energies from renewable sources by granting subsidies to operators to bridge the cost difference, levy on electricity from solar/PV, and creates market conditions for achieving the national targets on energy from renewable sources under the consideration of customer interests to minimise the economic impacts of support for renewable energies on energy prices. However, the 2013 amendment to the Act limits state support to renewable energy sources to installations commissioned before 31 January 2013 (hydropower generation facilities with capacity up to 10 MW exempt).<br />
<br />
The Act further introduces a tax levy on subsidised solar power production. Initially (2011) equal to 26% of the feed-in tariff for operators of new installations in operation after 1 January 2009 (exception of rooftop installations up to 30kW), it has been reduced to 10% of the feed-in tariff or 11% of the green bonus received (starting January 2014 and limited to installations commissioned between January-December 2010). Installations with capacity under 30kW are exempt from the levy. The Act also provides for development and biannual update of the National Action Plan for energy from renewable sources. The latest one has been elaborated for the period 2010-2020 and sets a 13% target for renewable energy in gross final consumption by 2020 (base year 2005).",0,0,,0
1193,Law No. 112(?)/2013 on the promotion and encouragement of the use of renewable energy sources,"Institutions / Administrative Arrangements, Energy Demand",Partial harmonisation with Directive 2009/28 /EC to promote the use of energy from renewable sources,0,0,,0
1215,State Environmental Policy (2012-2020),"Adaptation, Energy Supply, Energy Demand","<div>The overall framework to effectively protect the environment, following the State Environmental Policy of the Czech Republic 2004-2010. Objectives include climate mitigation, adaptation and the sustainable management of natural resources to contribute towards an improvement of the quality of life for Czech citizens and its neighbours.<br>&nbsp;<br>&nbsp;The policy has a climate protection component in conjunction with improving air quality. It aims to reduce per capita GHG emissions to 10.5 tCO2eq by 2020 (17% lower than 2009 levels). It also aims to reduce GHG emissions within the EU ETS by 21% and to limit the GHG emission growth for sectors not covered by the EU ETS to 9% by 2020 (from 2005 levels).<br>&nbsp;<br>&nbsp;Key measures include the promotion of renewable energies and especially energy efficiency via more energy efficient technologies. Further objectives include improving adaptation to climate change, and improving the ambient air quality, particularly in locations where emission limits are exceeded.</div>",0,0,,0
1220,Energy Agreement 2012-2020,"Adaptation, Research And Development, Energy Supply, Energy Demand, Transportation","Comprehensive agreement passed by a majority in the parliament that aims at reducing emissions via energy efficiency and increasing the share of renewable energies towards a green socio-economic transition. The overall objective is to shift energy supply to have a share of 35% renewable energy in final energy consumption by 2020 and 100% renewable energy by 2050 expected to reduce GHG emissions by approximately 34% by 2020 over 1990. It proposes a 7.6% reduction of gross energy consumption in 2020 in comparison to 2010.<br />
<br />
It contains a number of key elements that contribute to the overall target. Energy companies must realise specific energy savings beyond current standards. It also includes development of a comprehensive strategy to improve energy efficiency standards in buildings, expansion of wind power from 25% (2012) to 50% (2020), demonstration and use of new renewable energy technologies (wave, solar, geothermal), amendment to the Heating Supply Act to increase attractiveness of shifting from coal to biomass, phasing-out of oil-fired boilers via encouraging shifts to natural gas boilers and electrical heat pumps using ambient heat in existing buildings and subsidies to promote investment in energy efficient use of renewable energy in industrial production processes, calls to draw up strategy on establishing smart grids, improving opportunities for using biogas (provision, financial support), facilitating a shift in transport sector from fossil fuels to electricity and biofuels via subsidies for car recharging stations as well as the implementation of the 10% target for renewable energies in transportation by 2020 and the implementation of efficiency improvements in the energy sector.",0,0,,0
1288,Green Electricity Act,Energy Demand,"The Act aims to support the production of electricity from renewable energy sources through subsidised feed-in tariffs and investment grants. For certain types of green electricity bonuses can be granted on top of the standard feed-in tariff, for example when electricity and heat from renewable sources are generated in a high efficiency co-generation installation. The Act specifies targets for energy from different renewable energy sources. For 2010-2020 the following targets are set: hydro 1,000 MW, wind 2,000 MW, photovoltaic 1,200 MW, biomass and biogas 200 MW.",0,0,,0
1430,Belgian National Adaptation Plan 2017-2020,"Adaptation, Institutions / Administrative Arrangements","This Plan completes and identifies specific ways of implementing the National Climate Change Adaptation Strategy over the period 2017-2020. It mentions the impacts and vulnerabilities to Climate Change on the country, establishes adaptation planning at regional and federal level, national actions, and defines monitoring and implementation policies.<br />
<br />
The Plan details several measures to implement over the period: 1) development of high resolution climate scenarios, 2) Development of a roadmap for a Belgian Centre of Excellence on Climate, 3) Development of a national online platform for climate adaptation, 4) Strengthening sectoral coordination at national level, 5) Take climate change into account in risk analysis for invasive alien species, 6) Evaluate the impact of climate change on the security of the energy supply and the energy transport and distribution infrastructures, 7) Evaluation of the socio-economic impacts of climate change in Belgium, 8) Take climate change impacts and adaptation needs into account in the framework of the future National Environmental Health Action Plan (NEHAP),9) Education and awareness-raising<br />
among health professionals on the subject of climate change impacts, 10) Promote transnational cooperation on adaptation, and 11) Coordination of preventative, planning and management measures in the event of emergency climate change situations.",0,0,,0
1539,"Decree-Law n. 34 of 19 May 2020 on urgent measures on health, support to work, the economy and social policies related to the epidemiological emergency from COVID-19","Solar Panels, PV, EV, SOlar, BRT, covid19","<div>This document, named the ""relaunched decree"" by the government, was released through the Council of Ministers press release no. 45 on the 14th of May 2020 and entered into force on the 19th of May 2020. It aims at enabling Italy to cope with the Covid-19-induced crisis and allow economic recovery.&nbsp;<br><br>The decree-law notably modifies fiscal rules to incentivise energy efficiency, photovoltaic installations, and charging stations for electric vehicles at article 119.&nbsp;<br><br>A number of articles in chapter 3 of the decree focus on the relaunch of the rail sector, on public transport refund scheme (art. 200) and on strengthening the Bus Rapid Transit system (art. 213).<br><br>The decree-law establishes measures to encourage sustainable mobility in art. 229. These measures include a bonus of 60% of the cost and capped at 500 euros to acquire a cycle, electric cycle and other micromobility modes. The scheme is valid until the 31st of December 2020 and applies to residents of towns and cities above 50,000 residents.&nbsp;<br><br>Article 49 of the decree mandates the creation of a center of excellence for research, innovation and technology transfer in the automotive sector in the complex industrial&nbsp; area of Turin. This center will promote ecological transition processes in the sectors of sustainable public and private mobility and the competitiveness of the automotive industry. It will also foster collaboration and transfer of knowledge, including towards&nbsp; the experimentation of new forms of mobility, including electric mobility.<br><br><br><br><br><br><br></div>",0,0,,0
1540,Law No. 37/ May 2019,"Industry, Mitigation","This law establishes provisions for the fulfilment of the obligations deriving from Italy's membership of the European Union. It notably establishes provisions regarding the participation of specific entities in the greenhouse gas emission allowance auctions (article 13).

It also ends the provisions on extending the incentive period for biomass, biogas and bioliquid plants by repealing paragraphs 149, 150 and 151 of article 1 of the law of 28 December 2015, n. 208.",0,0,,0
1543,RES Decree 2016 and RES Decree 2019-2021,Energy Supply,"The Ministerial Decree providing incentives to electricity production from renewable energy sources (The RES Decree) 2016 updates the allocation scheme of incentives to renewable energy other than photovoltaic. The scheme covers wind farms, hydro, biomass and biogas, CSP and other non-photovoltaic renewable energy sources for the year 2016. It maintains the structure of the previous incentive 2012-2015 regime, while decreasing the value of overall incentives available.
As in the previous scheme, renewable energy plants may benefit from:
<ul>
<li style=""list-style-type: none;"">
<ul>
<li>All-inclusive tariff, applicable to Plants with capacity up to 500kW; or</li>
</ul>
</li>
</ul>

<ul>
<li style=""list-style-type: none;"">
<ul>
<li>Feed-in tariff, applicable to Plants with capacity up to 500kW which do not opt for the above All-Inclusive Tariff, and Plants with nominal capacity greater than 500kW.</li>
</ul>
</li>
</ul>


Incentives are granted either through registry procedure (plants with capacity below 5MW) or tender procedures (reverse auctions; plants with capacity above 5MW).
The overall cap on incentives for RES plants remains at â‚¬5.8 billion per year.



The 2019 decree updates the 2016 text to promote renewable energy production over the period 2019-2021.",0,0,,0
1548,Biofuel (Decree no. 128/2005 and Ministerial Decree of 13-dec-17),Energy Supply,"This Decree established a national indicative target of 2.5% of substitution of traditional fuels with biofuels by 31 December 2010. From 1 January 2007 the quota for that date has been increased to 5.75%.<br />
<br />
The Ministerial Decree of 13 December 2017, the Ministry of Economic Development has reduced the minimum percentages for consumption requirement in relation to biofuels and advanced fuels for the years 2018, 2019 and 2020 already fixed by the Ministerial Decree of 10 October 2014. The minimum fees are as follows: for the year 2018, 7% of biofuels of which at least 0.1% advanced biofuels; for the year 2019, 8% of biofuels of which at least 0.2% advanced biofuels; for the year 2020, 9% of biofuels of which at least 1% of advanced biofuels.",0,0,,0
1557,"Thermal account, incentive schemes set up by Ministerial Decree No 12/2012","Institutions / Administrative Arrangements, Energy Supply, Energy Demand","The Thermal Account is the first nationwide direct incentive scheme for the generation of renewable thermal energy, and the first scheme encouraging public authorities to implement energy efficiency actions in buildings and technical installations.<br />
<br />
The scheme is addressed to public authorities and to private parties i.e. individuals, condominiums, businesses and farms. GSE (Energy Service Operator) is in charge of implementing and managing the scheme. It also awards, disburses and revokes incentives and it is in charge of monitoring and checks.<br />
<br />
ENEA (National Agency for New Technologies, Energy and Sustainable Economic Development) assists GSE in preparing the technical rules for implementing the decree and takes part in the verifications. It also provides specialist assistance to GSE in monitoring activities and, again in cooperation with GSE, draws up an annual report.<br />
<br />
The Thermal Account supports the following energy efficiency actions implemented by public authorities:<br />
â€¢ thermal insulation of walls<br />
â€¢ replacement of windows<br />
â€¢ installation of screening and shading systems<br />
â€¢ replacement of heating systems with condensing boilers<br />
â€¢ It also support production of heat from renewable sources:<br />
â€¢ replacement of heat generators with electrical and gas heat pumps, including heat pumps for the production of sanitary hot water<br />
â€¢ replacement of heat generators with biomass-fed heat generators, heating fireplaces and<br />
â€¢ stoves<br />
â€¢ installation of solar thermal collectors and solar cooling systems<br />
<br />
The maximum power limit in order to qualify for the incentive is 1,000 thermal kW or 1,000m2 of surface area for thermal solar systems. In the case of energy efficiency actions, an expenditure ceiling has been set for each type of action.",0,0,,0
1622,Latvia’s Strategy to achieve climate neutrality by 2050,"Research And Development, Net Zero","<div>The Strategy is a long-term policy planning document designed to increase the economic competitiveness of the Latvian economy at the same time as limiting and reducing climate change, as well as to ensure a safe living environment for the people of Latvia. It is designed to support the European Union's overall climate-neutrality target by 2050. This document was released alongside the <a href=""http://www.zrea.lv/upload/attach/2%20Latvijas%20Nacionalais%20energetikas%20un%20klimata%20plans%202021_230.pdf"">National Energy and Climate Plan 2021-2030</a> that is a mandatory communication to the EU.<br><br>The document details the government's overarching goals and lines of action, examines and sets the emissions reduction low-carbon objectives across the economy's main sectors.<br><br></div>",1,1,,0
1645,Global Strategy for a Sustainable Mobility (MODU),Transportation,"The Global Strategy for a Sustainable Mobility (MODU) was published in 2012 to present an integrated approach over the question of sustainability in transport. MODU's goals are to enhance mobility, particularly public transport, while reducing budgetary costs.<br />
<br />
MODU relies in particular on the rail network for public transport, as they provide a fast, efficient, comfortable and sustainable service. Buses shall represent a second, denser layer, to link passengers with rail as much as possible. Regions without rail shall obtain fast and efficient bus lines. Concerning the city of Luxembourg, MODU aims at lowering road traffic as much as possible, given current saturation of the system, and redirect commuters towards bus, train and tramway systems. Such a strategy requires the creation of intermodal hubs.<br />
<br />
MODU is designed in accordance with urbanisation trends such as to fulfil the objectives of several transversal plans, such as the <a href=""http://www.developpement-durable-infrastructures.public.lu/fr/actualites/articles/2013/05/presentation_plan_action_climat/2_Nationaler-Aktionsplan-Klimaschutz.pdf"">Action Plan for Climate Change</a> and the <a href=""http://www.developpement-durable-infrastructures.public.lu/fr/developpement-durable-infrastructures/version_integrale/PNDD_PDF_francais_integral.pdf"">National Plan for enhanced life quality</a>.",0,0,,0
1668,Energy White Papers on 'Delivering a Sustainable Energy Future for Ireland? : The Energy Policy Framework 2007-2020',"Research And Development, Energy Supply, Energy Demand","<div>This document is a practical, action-based to achieve a new, sustainable energy future for Ireland. This White Paper was informed by the outcome of the consultation process on the Government's Green Paper on Energy Policy, where over 100 submissions were received and discussions with key stakeholders were held.<br>&nbsp;<br>The White Paper calls for four objectives: security of energy supply; sustainability of energy supply and use; competitiveness of energy supply; and integrated approach to deliver energy policy objectives. The document also presents strategic goals that underpin the abovementioned goals.<br><br>&nbsp;Strategic goals to achieve security of energy supply are:<br>1) To ensure that electricity supply meets demand consistently<br>2) To ensure the physical security and reliability of gas supplies to Ireland<br>3) To enhance the diversity of fuels used for power generation<br>4) To deliver electricity and gas to homes and businesses over efficient, reliable and secure networks<br>5) To create a stable attractive environment for hydrocarbon exploration and production<br>6)To be prepared for energy supply disruptions<br>&nbsp;Strategic goals to promote the sustainability of energy supply and use are:<br>7) To address climate change by reducing energy related GHG emissions<br>8) To accelerate the growth of renewable energy sources<br>9) To promote the sustainable use of energy in transport<br>10) To deliver an integrated approach to the sustainable development and use of bio-energy resources<br>11) To maximize energy efficiency and energy savings across the economy<br>12) To accelerate Energy Research Development and Innovation Programmes in support of sustainable energy goals<br>&nbsp;Strategic goals to enhance the competitiveness of energy supply are:<br>&nbsp;13) To deliver competition and consumer choice in the energy market<br>&nbsp;14) To deliver the All-Island Energy Market Framework<br>&nbsp;15) To ensure that regulatory framework meets the evolving energy policy challenges<br>&nbsp;16) To ensure a sustainable future for semi-state energy enterprises<br>&nbsp;17) To ensure affordable energy for everyone<br>&nbsp;18) To create jobs, growth and innovation in the energy sector<br>&nbsp;Strategic goals for integrated delivery of energy policy objectives are:<br>&nbsp;19) To strengthen national capabilities in the energy policy field<br>&nbsp;20) To ensure Government-as-a-whole approach to energy policy<br>&nbsp;21) To reach out to stakeholders in implementing strategic goals for energy<br>&nbsp;22) To ensure accountability and transparency through regular process reporting and review</div>",0,0,,0
1677,Decree n ° 2020-787 of 25 June 2020 relating to purchasers of last resort of biogas,"Biofuels, Biogas",<div>This decree sets the rules regarding purchasers of last resort of biogas. It aims at supporting biogas producers by making mandatory for gas suppliers who control more than 10% of the market to buy the biogas of producers who ask for a given purchase.</div>,0,0,,0
1681,National Low-Carbon Strategy (SNBC),,"<div>Introduced by the Energy Transition Law for Green Growth (LTECV), The National Low-Carbon Strategy (SNBC) is France's roadmap for combating climate change. It provides guidelines for implementing, in all sectors of activity, the transition to a low-carbon, circular and sustainable economy. It defines a trajectory for reducing greenhouse gas emissions until 2050 and sets short- to medium-term objectives: carbon budgets. It has two ambitions: to achieve carbon neutrality by 2050 and to reduce the carbon footprint of French consumption. Public decision-makers, at both national and territorial levels, must take it into account.&nbsp;<br><br>Adopted for the first time in 2015, the SNBC was revised in 2018-2019, with the aim of achieving carbon neutrality in 2050 (ambition raised compared to the first SNBC which targeted factor 4, i.e. a 75% reduction in its GHG emissions by 2050 compared to 1990). This revised SNBC project was subject to public consultation from January 20 to February 19, 2020 with a view to adoption in early 2020.<br><br>Article L. 222-1 B of the Environment Code stipulates that the State, local authorities and their respective public establishments take the low-carbon strategy into account in their planning and programming documents which have significant effects on greenhouse gas emissions.</div>",0,0,,0
1682,Law n° 2019-1147 on Energy and the climate,,"This law is France's framework document on climate and energy matters. The law notably enshrines into law the objective of carbon neutrality for 2050 and sets a number of quantified objectives for the energy sector. It is an extensive document amending the Energy Code, the Environment Code, the General code of local and regional authorities and other codes and laws.

The law notably makes the High Council for the climate a permanent body (art. 11 and 12), enacts the closure of the last four French coal power plants (art. 12), streamlines the administrative framework of electricity supply companies with the aim of boosting renewables (art 14), takes measures to improve energy efficiency in building, discusses measures to regulate air and maritime international transport. It amends several pieces of legislation to increase the emphasis on adaptation to climate change and resilience, alongside mitigation efforts. Article 1 further aims to promote a research and innovation policy that favours the adaptation of business sectors to the energy transition.",0,0,,0
1685,Plan for cycling and active mobility,Transportation,"This plan aims at strengthening the cycling culture and increase the mode share of cycling in the country. The plan notably defines measures to improve road safety and vows to switch the incentives dedicated to commuting towards cycling.

In order to reach its objectives, the government notably creates through this document a National Active Mobility Fund to foster the building of dedicated cycle lanes, and improves the framework to allow local territories to reach their own targets. The plan also seeks to reduce theft.",0,0,,0
1686,Hydrogen deployment plan for the energy transition,"Energy Supply, Energy Demand, Transportation","This Plan sets the government's vision on how to fastrack the development and deployment of hydrogen in France. The plan targets energy storage, electricity generation in transport, gas networks and CO2 storage.

The Plan is organised on three main actions to focus on: 1) Production of hydrogen by electrolysis for industry, phase of initiation, 2) A valorization by uses of the mobility in complementarity of the batteries, and 3) ensuring the stabilization of energy networks in the medium-long term. Ten specific measures and objectives are subsequently defined.",0,0,,0
1693,Grenelle I,"Adaptation, Institutions / Administrative Arrangements, Energy Supply, Energy Demand, Redd+ And Lulucf, Transportation","<div>In 2007, the French government established six working groups gathering state and non-state actors to address ways to redefine France's environment policy. The proposals were put to public consultation, leading to a set of recommendations presented to the French parliament in early 2008. One working group specifically addressed climate change. The Grenelle I Law states the principles of the Grenelle process. The Grenelle II Law gives a more detailed implementation framework. Not all the measures negotiated during the Grenelle process were adopted.&nbsp;<br><br>The Grenelle I sets among others the following objectives and targets related to climate change and energy:&nbsp;<br>â€¢ Buildings: make the building sector the Number 1 sector supporting the fight against climate change&nbsp;<br>o Apply the 'Low consumption building' norm to all new buildings starting end 2012 (less than 50kWh/m2/year of primary energy consumption)&nbsp;<br>o Reduce energy consumption in old buildings by 38% by 2020 o Complete 400,000 thermal renovations of buildings per year starting 2013 o Launch a social housing programme for energy efficiency renovation for 800,000 households&nbsp;<br>â€¢ Urban planning: Harmonise policy and planning documents, in particular relevant to agglomeration level&nbsp;<br>â€¢ Transport: Reduce GHG emissions by 20% by 2020 and reduce the sector dependency on fossil fuels&nbsp;<br>o Put in place an eco-tax for heavy vehicles starting 2011 o Increase the share of non-road and non-aviation transport from 14% in 2009 to 25% by 2022 o Increase the share of non-road and non-aviation freight by 25% by 2012&nbsp;<br>o Provide by 2020 EUR2.5bn (USD3.1bn) state investment for development of urban public transport o Inaugurate 2,000 km of high-speed rail by 2020 o In aviation transport, reduce by 2020 fuel consumption/ passenger/km by 50% and reduce by 50% total fuel consumption&nbsp;<br>â€¢ Energy: contribute to the goal of drastic GHG emissions reduction o Minimum 23% of energy mix by 2020 sourced from renewable energy sources&nbsp;<br>â€¢ Example set by the State: sustainable sourcing and energy efficiency measures o Starting 2009, vehicles purchased by the State should not emit more than 130g CO2/km (exceptions apply) o Starting 2010, use certified wood or wood issued from sustainably managed forests o Improve energy efficiency by 20% by 2015&nbsp;<br>â€¢ French overseas territories: to become â€˜territories of environmental excellence'&nbsp;<br>o Aim for energy autonomy (50% by 2020) Monitoring arrangements: a National Committee on Sustainable Development and the Environment monitors the implementation of the measures adopted in the Grenelle Laws and reports once a year to Parliament to suggest improvements. The committee also formulates, monitors and evaluates sustainable development and biodiversity national strategies. The committee is chaired by the Ministry of Environment, and consists of the inter-ministerial delegate for sustainable development, representatives of the State, the private sector, environmental NGOs and unions. It has six members who represent family, consumer protection, solidarity, social integration, youth, development aid and a representative of the Chamber of Commerce and Industry. In total, it has 41 members.</div>",0,1,,0
1703,Law to introduce a federal climate protection law and to change further regulations,Carbon Pricing,"<div>The purpose of this law is to ensure that national climate protection targets are met and European targets are met. It is also intended to support Germany's commitment at the UN climate summit in New York on September 23, 2019 to pursue greenhouse gas neutrality as a long-term goal by 2050. It was adopted after the federal Government submitted its <a href=""https://www.bmu.de/fileadmin/Daten_BMU/Download_PDF/Klimaschutz/klimaschutzprogramm_2030_umsetzung_klimaschutzplan.pdf"">climate program</a> to 2030.<br><br>The law notably introduces a national carbon tax, set at 25 euros per tonne of CO2 from 2021.</div>",0,0,,0
1705,"Law for the conservation, modernisation and expansion of cogeneration",Energy Supply,"The law on cogeneration revises the 2002 Combined Heat and Power Act to encourage combined heat and power (CHP) generation plants using renewable energies, district heating, heat and cold storage, and reduce CHP from hard coal and brown coal unless necessary. It details how the financial support for existing and new installations, which was increased from â‚¬750 million to â‚¬1.5 billion, will be used.

Subsidies are limited in time and added to market-based electricity price. Net electricity from cogeneration plants should increase to 110 TW/h by 2020 and 120 TW/h by 2025. Projects concerned by the scheme are newly constructed and ""modernised"" plants with a focus on increased energy efficiency. Subsidies focus on plants feeding the national supply grid, but there are exceptions for sites with a capacity under 100 kW and installations used by industrial consumers. Additional incentives are granted to plants subject to the Greenhouse Gas Emission Trading Law, and projects which disposed of coal or lignite receive a bonus of â‚¬0.6 cents/kWh over the entire funding period.",0,0,,0
1712,Integrated Climate and Energy Programme (IEKP),"Research And Development, Energy Supply, Energy Demand, Transportation","This programme has as its guiding principles security of supply, economic efficiency and environmental protection. The integrated climate and energy programme aims to cut GHG emissions by 40% by 2020 compared with 1990 levels.<br />
<br />
Through 29 measures, the programme addresses issues including CHP generation, the expansion of renewable energy in the power sector, carbon capture and sequestration technologies, 'smart' metering, clean power station technologies, the introduction of modern energy management systems, support programmes for climate protection and energy efficiency (apart from buildings), energy efficient products, provisions on the feed-in of biogas to natural gas grids, an energy savings ordinance, a modernisation programme to reduce CO2 emissions from buildings, energy efficient modernisation of social infrastructure, the Renewable Energies Heat Act, a programme for the energy efficient modernisation of federal buildings, a CO2 strategy for passenger cars, the expansion of the biofuels market, reform of vehicle tax on the basis of CO2, energy labelling of passenger cars, reinforcement of the influence of the HGV toll, aviation, shipping, the reduction of emissions of fluorinated GHGs, procurement of energy efficient products and services, energy research and innovation, electric mobility, international projects on climate protection and energy efficiency, reporting on energy and climate policy by German embassies and consulates, and a transatlantic climate and technology initiative.<br />
<br />
It includes the following targets:<br />
â€¢ Energy supply: to double electricity generation from CHP to 25%; approval of 850km underground grid to transport offshore wind energy to the south<br />
â€¢ Energy demand: Energy-related requirements for new homes and fully renovated old homes to target a 30% reduction in energy use; also rules on replacement of central heating boilers and new standards for windows and the insulation of building facades. Incentives for 'smart' meters; reform of the Energy Saving Ordinance<br />
â€¢ Transportation: Increase in road tolls for trucks; reform of vehicle tax to a pollutant and CO2 emissions basis; amendment to the Passenger Car Energy Consumption Labelling Scheme",0,0,,0
1715,Biofuel Quota Act (BioKraftQuG),"Institutions / Administrative Arrangements, Energy Supply, Transportation","The legal basis for the Meseberg Integrated Energy and Climate Programme, which contained a 17% target for biofuels by 2020. Under the Act, a growing percentage of fuel for use in motor vehicles must be produced from biomass. The German Advisory Council on the Environment found the target to be far too high, and favours biomass use in stationary CHP plants. The European Union in of the Renewable Energy Directive prescribes a renewables share of only 10% for the transportation sector.",0,0,,0
1718,Energy and Climate Fund Act (EKFG),"Institutions / Administrative Arrangements, Energy Supply, Energy Demand","This Act creates the Energy and Climate Fund. The fund is to be used for the promotion of an environmentally-friendly, reliable and affordable energy supply, for instance with respect to energy-efficiency. Revenue will mainly come from a contractual agreement of the nuclear power plant operators with the German state that skims off part of their extra profits. In addition, it will be funded by parts of the nuclear fuel rod tax and the auctioning of emission allowances as of 2013.",0,0,,0
